MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
SM-N900,698117,galaxy note 3,samsung,420.0,2013.0,9.0,2013.75,5.7,13.0,1920.0,1080.0,3.4166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
Iris 810,678729,iris 810,lava,80.0,2016.0,,2016.5,5.0,5.0,854.0,480.0,0.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-N910C,673458,galaxy note 4,samsung,550.0,2014.0,,2014.5,5.7,16.0,2560.0,1440.0,2.6666666666667425,6,3,2,2,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,4,4,1,5
SM-G935F,672268,galaxy s7 edge,samsung,600.0,2016.0,3.0,2016.25,5.5,12.2,2560.0,1440.0,0.9166666666667425,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
SM-A700FD,653861,galaxy a7,samsung,370.0,2015.0,2.0,2015.166666666667,5.5,13.0,1920.0,1080.0,1.9999999999997726,2,6,7,6,1,0,4,0,1,2,1,1,3,3,3,3,2,0,7,7,0,3,3,3
Iris 700,643998,iris 700,lava,80.0,2014.0,,2014.5,4.5,5.0,960.0,540.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
A37f,621224,a37f,oppo,220.0,2016.0,6.0,2016.5,5.0,8.0,1280.0,720.0,0.6666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,0,2,11,0,7,7,7
GT-I9500,619570,galaxy s4,samsung,320.0,2013.0,4.0,2013.333333333333,5.0,13.0,1920.0,1080.0,3.8333333333337123,2,6,7,4,1,0,4,0,4,0,8,1,3,3,3,3,5,2,3,6,6,6,6,6
Iris 600,596376,iris 600,lava,80.0,2015.0,,2015.5,4.5,5.0,854.0,480.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
SM-G900F,584565,galaxy s5,samsung,480.0,2014.0,4.0,2014.333333333333,5.1,16.0,1920.0,1080.0,2.8333333333337123,6,3,7,2,1,0,8,8,5,4,1,1,3,3,3,3,5,1,3,5,4,4,1,5
X9006,582454,find 7a,oppo,370.0,2014.0,3.0,2014.25,5.5,13.0,1920.0,1080.0,2.9166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
Iris 510,580781,iris 510,lava,80.0,2014.0,,2014.5,4.0,5.0,800.0,480.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
Iris 550,578306,iris 550,ais,150.0,2015.0,4.0,2015.333333333333,4.0,5.0,800.0,480.0,1.8333333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
SM-A910F,560721,galaxy a9 (2016),samsung,460.0,2015.0,1.0,2015.083333333333,6.0,13.0,1920.0,1080.0,2.0833333333337123,6,3,7,2,1,0,4,0,5,4,1,8,3,3,3,3,4,1,9,5,6,6,6,6
SM-A510F,540345,galaxy a5,samsung,300.0,2015.0,12.0,2016.0,5.2,13.0,1920.0,1080.0,1.1666666666667425,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
Y51,534519,y51,vivo,130.0,2015.0,12.0,2016.0,5.0,8.0,960.0,540.0,1.1666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
GT-I9152,521416,galaxy mega 5.8,samsung,280.0,2013.0,5.0,2013.416666666667,5.8,8.0,960.0,540.0,3.7499999999997726,0,5,4,9,0,1,9,9,4,0,8,9,5,5,0,2,5,2,4,1,6,6,6,6
SM-J500G,514708,galaxy j5,samsung,160.0,2015.0,6.0,2015.5,5.0,13.0,1280.0,720.0,1.6666666666667425,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
SM-G360H,513061,galaxy core prime duos,samsung,150.0,2014.0,11.0,2014.916666666667,4.5,5.0,800.0,480.0,2.2499999999997726,5,2,6,7,2,2,2,2,2,5,4,5,1,1,1,0,6,7,2,9,2,2,2,0
Iris 360m,502470,iris 360 music,lava,80.0,2016.0,,2016.5,3.5,2.0,480.0,320.0,0.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-J100ML,497031,galaxy j1,samsung,110.0,2015.0,2.0,2015.166666666667,4.3,5.0,800.0,480.0,1.9999999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
SM-G360HU,495187,galaxy core prime,samsung,150.0,2014.0,11.0,2014.916666666667,4.5,5.0,800.0,480.0,2.2499999999997726,5,2,6,7,2,2,2,2,2,5,4,5,1,1,1,0,6,7,2,9,2,2,2,0
SM-A800F,489506,galaxy a8,samsung,270.0,2015.0,10.0,2015.833333333333,5.7,16.0,1920.0,1080.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-E500H,478073,galaxy e5,samsung,240.0,2015.0,2.0,2015.166666666667,5.0,8.0,1280.0,720.0,1.9999999999997726,5,0,5,7,5,5,5,5,2,1,4,2,1,1,1,0,2,0,4,1,0,3,3,3
Iris 708,456925,iris 708,lava,80.0,2015.0,,2015.5,4.5,8.0,960.0,540.0,1.6666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
A33W,450913,neo 7,oppo,240.0,2015.0,11.0,2015.916666666667,5.0,8.0,960.0,540.0,1.2499999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,2,0,7,7,0,3,3,3
1201,415838,1201,izoom,70.0,2014.0,8.0,2014.666666666667,4.0,2.0,800.0,400.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
GT-N5100,408426,galaxy note 8,samsung,320.0,2013.0,4.0,2013.333333333333,8.0,5.0,1280.0,800.0,3.8333333333337123,0,5,8,9,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,0,10
