MODEL, MARKETING_NAME, VENDOR, DISPLAY_HEIGHT, DISPLAY_WIDTH, CAMERA_PIXELS, YEAR_RELEASED, DIAGONAL_SCREEN_SIZE, REACH
T72 HM 3G,t72 hm 3g,oysters,600,1024,2,2015,7,15
SM-T817W,galaxy tab s2 9.7 lte,samsung,2048,1536,8,2015,9.699999999999999,15
SCL-L04,y6,huawei,1280,720,8,2015,5,15
SC-CL00,ascend gx1,huawei,1280,720,8,2014,6,15
N907,n907,tengda,960,540,5,2015,5.5,15
MB526,defy,motorola,854,480,NULL,2011,3.7,15
Alife P1 Pro,alife p1 pro,blackview,1280,720,13,2015,5.5,15
QS08,qs08,q-smart,480,800,2,2014,4,15
C6745,hydro air,kyocera,960,540,5,2015,5,15
Slate8 Pro,slate8 pro,hp,1200,1600,8,2013,8,15
201M,motorola razr m,softbank,960,540,NULL,2012,4.3,15
Cynus F7,cynus f7,mobistel,1080,720,13,2015,5,15
Omega HD 3,omega hd 3,cherry mobile,1280,720,8,2015,5,15
X190,ray,lg,1280,720,13,2015,5.5,15
Novo 7,novo 7 paladin,ainol,480,800,0.3,2011,7,15
5015A,one touch pop 3 (5),alcatel,854,480,8,2015,5,15
K8 4G,k8 4g,komu,1920,1090,14,2016,5.5,15
Andromax i3S,andromax i3s,smartfren,960,540,5,2014,5,15
SM-G5306W,galaxy grand prime,samsung,960,540,8,2014,5,15
Asha 311,asha 311,nokia,400,240,3.15,2012,3.01,15
W8510,w8510,philips,1280,720,8,2013,4.7,15
KYV32,basio,kddi,1920,1080,13,2015,5,15
9190L,s6,coolpad,1280,720,13,2014,5.9,15
IM-A860,vega no 6,pantech,1920,1080,13,2013,5.9,15
K210,x power,lg,1280,720,8,2016,5.3,15
A190,canvas hd plus,micromax,1280,720,8,2014,5,15
K540,stylus 2,lg,1280,720,13,2016,5.7,15
Y560-CL00,ascend y560,huawei,854,480,5,2015,4.5,15
5065D,one touch pixi 3,alcatel,854,480,5,2015,5,15
i-note WiFi,i-note wifi,i-mobile,480,800,0.3,2012,7,15
L-ite 502,l-ite 502,logicom,960,540,5,2015,5,15
G526-L22,ascend g526,huawei,960,540,5,2013,4.5,15
ET7582G-HM14,genie,eurostar,480,800,0.3,2013,7,15
Cheetah,cheetahphone,cubot,1920,1080,13,2015,5.5,15
Y325-T00,ascend y,huawei,800,480,2,2013,4,15
4G551,zap 6 posh note,polytron,1280,720,8,2015,5.5,15
D725,g3 vigor,lg,1280,720,8,2014,5,15
QV1030,qv1030,gigaset,2560,1600,8,2014,10.1,15
SM-T532,galaxy tab 4 10.1,samsung,800,1280,3.15,2014,10.1,15
X220,k5,lg,854,480,5,2016,5,15
Z730,concord ii,zte,800,480,5,2014,4,15
RCT6773W42B,rct6773w42b,rca tablets,1024,600,NULL,2015,7.4,15
E500A,e500a,posh,1280,720,13,2014,4.6,15
BP-i9300,bp-i9300,bysino,480,320,NULL,2012,4.01,15
W510u,win hd,blu,1280,720,8,2014,5,15
U8825,ascend g330,huawei,800,480,5,2012,4,15
U8800 Pro,ideos x5,huawei,800,480,NULL,2011,3.79,15
Blade S,blade s,zte,1280,720,13,2015,5,15
Z820,obsidian,zte,854,480,5,2015,4.5,15
Y80D,y80d,coolpad,960,540,8,2015,5.5,15
TF303K (K01B),transformer pad,asus,800,1280,1.8,2014,9.4,15
S60-w,s60-w,lenovo,1280,720,13,2015,5,15
BF-A10,bf-a10,bellefonte,480,320,NULL,2012,3.5,15
R9t,r9,oppo,1920,1080,16,2016,5.5,15
Eluga A,eluga a,panasonic,854,480,8,2014,5,15
LS660,tribute 4g,lg,800,480,23,2014,4.5,15
0PKX220,desire 626,htc,1280,720,13,2015,5,15
