"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"p770","p770","lenovo","960","540","NULL","2012","4.5",96
"ms330","k7","lg","854","480","8","2016","5",96
"s8-50f","tab s8-50f","lenovo","1920","1200","8","2014","8",96
"lifetab p9516","lifetab p9516","medion","800","1280","NULL","2012","10",96
"x5004","x5004","medion","1920","1080","13","2015","5",96
"sm-g360v","galaxy core prime","verizon","800","480","5","2015","4.5",96
"ms345","leon","lg","854","480","8","2015","4.5",96
"hm note 1td","redmi note","xiaomi","1280","720","13","2014","5.5",95
"qba757","slim note","qbex","800","480","NULL","2012","5.2",95
"shw-m480s","galaxy note","samsung","800","1280","NULL","2012","10.13",95
"sm-j710fn","galaxy j7 2016","samsung","1280","720","13","2016","5.5",95
"liberto 820","liberto 820","doro","940","560","8","2014","4.5",95
"gt-s5670","galaxy fit","samsung","320","240","NULL","2011","3.92",95
"london","london","marshall","1280","720","8","2015","4.7",95
"dinosaur","dinosaur","cubot","1280","720","13","2016","5.5",95
"d684","g pro lite","lg","960","540","8","2013","5.5",94
"x600","le 1","letv","1920","1080","13","2015","5.5",94
"x2-cu","vibe x2","lenovo","1920","1080","2","2014","5",94
"studio g","studio g","blu","854","480","5","2015","5",94
"scl-l02","y6","huawei","1280","720","8","2015","5",94
"desire d526h","desire d526h","htc","960","540","8","2015","4.7",94
"sgh-t989d","galaxy s2 x","samsung","800","480","8","2011","4.51",94
"s551","hornbill","obi","1280","720","13","2014","5.5",94
"sgh-i467","galaxy note 8.0 at+t","samsung","800","1280","5","2013","8",94
"h830","g5","t-mobile","2560","1440","16","2016","5.3",94
"sm-g360p","galaxy core prime","sprint","800","480","5","2015","4.5",93
"d118","d118","newsmy","320","240","NULL","2009","2.6",93
"iris 405","iris 405","lava","800","480","5","2013","4",93
"gt-s8500","wave","samsung","800","480","5","2010","3.06",93
"numy 3g ax3 sword","novo numy 3g ax3 sword","ainol","600","1024","5","2014","7",93
"k330","k7 4g","lg","854","480","5","2016","5",93
"kyt31","qua tab","kddi","1920","1200","5","2015","8",93
"e10312","lifetab e10312","medion","800","1280","2","2013","10.1",93
"a320e","desire c","htc","480","320","5","2012","3.5",93
"a816","a816","lenovo","960","540","8","2014","5.5",93
"b8080-f","yoga tablet","lenovo","800","1280","5","2014","10",93
"d820us","desire 820us","htc","1280","720","13","2014","5.5",93
"sm-g150ns","galaxy folder lte","samsung","800","480","8","2015","3.8",92
"m2-802l","mediapad m2 8.0","huawei","1920","1200","8","2015","8",92
"y320-u151","y320-u151","huawei","800","480","2","2013","4",92
"h522","prime plus","lg","1280","720","8","2015","5",92
"d295","l fino","lg","800","480","8","2014","4.5",92
"d373","l series iii l80","lg","800","480","8","2014","5",92
